url,status,content_type,bytes,local_path
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2275/2298,200,application/pdf,1826081,raw/afo/index.php/afo/article/download/2275/2298.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2274/2297,200,application/pdf,506624,raw/afo/index.php/afo/article/download/2274/2297.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2273/2296,200,application/pdf,1891542,raw/afo/index.php/afo/article/download/2273/2296.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2272/2295,200,application/pdf,2994788,raw/afo/index.php/afo/article/download/2272/2295.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2271/2294,200,application/pdf,1068606,raw/afo/index.php/afo/article/download/2271/2294.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2270/2293,200,application/pdf,3167898,raw/afo/index.php/afo/article/download/2270/2293.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2269/2292,200,application/pdf,867361,raw/afo/index.php/afo/article/download/2269/2292.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2268/2291,200,application/pdf,1397627,raw/afo/index.php/afo/article/download/2268/2291.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2267/2290,200,application/pdf,640049,raw/afo/index.php/afo/article/download/2267/2290.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2266/2289,200,application/pdf,455350,raw/afo/index.php/afo/article/download/2266/2289.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2265/2288,200,application/pdf,2494267,raw/afo/index.php/afo/article/download/2265/2288.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2264/2287,200,application/pdf,201474,raw/afo/index.php/afo/article/download/2264/2287.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2263/2286,200,application/pdf,456821,raw/afo/index.php/afo/article/download/2263/2286.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2262/2285,200,application/pdf,8351002,raw/afo/index.php/afo/article/download/2262/2285.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2261/2284,200,application/pdf,4192206,raw/afo/index.php/afo/article/download/2261/2284.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2259/2282,200,application/pdf,1778310,raw/afo/index.php/afo/article/download/2259/2282.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2258/2281,200,application/pdf,781159,raw/afo/index.php/afo/article/download/2258/2281.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2257/2280,200,application/pdf,2449165,raw/afo/index.php/afo/article/download/2257/2280.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2256/2279,200,application/pdf,358654,raw/afo/index.php/afo/article/download/2256/2279.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2254/2278,200,application/pdf,3175241,raw/afo/index.php/afo/article/download/2254/2278.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2255/2277,200,application/pdf,3891537,raw/afo/index.php/afo/article/download/2255/2277.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2253/2275,200,application/pdf,3919564,raw/afo/index.php/afo/article/download/2253/2275.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2252/2274,200,application/pdf,436432,raw/afo/index.php/afo/article/download/2252/2274.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2251/2273,200,application/pdf,1627481,raw/afo/index.php/afo/article/download/2251/2273.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2250/2272,200,application/pdf,707646,raw/afo/index.php/afo/article/download/2250/2272.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2249/2271,200,application/pdf,2169729,raw/afo/index.php/afo/article/download/2249/2271.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2248/2270,200,application/pdf,4941001,raw/afo/index.php/afo/article/download/2248/2270.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2247/2269,200,application/pdf,561684,raw/afo/index.php/afo/article/download/2247/2269.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2246/2268,200,application/pdf,7517873,raw/afo/index.php/afo/article/download/2246/2268.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2245/2267,200,application/pdf,3080093,raw/afo/index.php/afo/article/download/2245/2267.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2244/2266,200,application/pdf,700065,raw/afo/index.php/afo/article/download/2244/2266.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2243/2265,200,application/pdf,399190,raw/afo/index.php/afo/article/download/2243/2265.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2242/2264,200,application/pdf,3788763,raw/afo/index.php/afo/article/download/2242/2264.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2241/2263,200,application/pdf,6525144,raw/afo/index.php/afo/article/download/2241/2263.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2240/2261,200,application/pdf,3956581,raw/afo/index.php/afo/article/download/2240/2261.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2239/2260,200,application/pdf,1567980,raw/afo/index.php/afo/article/download/2239/2260.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2238/2259,200,application/pdf,3015338,raw/afo/index.php/afo/article/download/2238/2259.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2237/2258,200,application/pdf,5486043,raw/afo/index.php/afo/article/download/2237/2258.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2236/2257,200,application/pdf,3771271,raw/afo/index.php/afo/article/download/2236/2257.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2235/2256,200,application/pdf,1598983,raw/afo/index.php/afo/article/download/2235/2256.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2234/2255,200,application/pdf,1422241,raw/afo/index.php/afo/article/download/2234/2255.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2233/2254,200,application/pdf,194742,raw/afo/index.php/afo/article/download/2233/2254.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2232/2253,200,application/pdf,339272,raw/afo/index.php/afo/article/download/2232/2253.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2231/2251,200,application/pdf,1951857,raw/afo/index.php/afo/article/download/2231/2251.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2230/2252,200,application/pdf,1286106,raw/afo/index.php/afo/article/download/2230/2252.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2229/2250,200,application/pdf,357789,raw/afo/index.php/afo/article/download/2229/2250.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2228/2249,200,application/pdf,501980,raw/afo/index.php/afo/article/download/2228/2249.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2227/2248,200,application/pdf,1620512,raw/afo/index.php/afo/article/download/2227/2248.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2226/2247,200,application/pdf,405105,raw/afo/index.php/afo/article/download/2226/2247.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2225/2246,200,application/pdf,951649,raw/afo/index.php/afo/article/download/2225/2246.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2224/2244,200,application/pdf,499671,raw/afo/index.php/afo/article/download/2224/2244.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2223/2243,200,application/pdf,1182784,raw/afo/index.php/afo/article/download/2223/2243.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2222/2242,200,application/pdf,1028442,raw/afo/index.php/afo/article/download/2222/2242.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2221/2241,200,application/pdf,1837088,raw/afo/index.php/afo/article/download/2221/2241.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2220/2240,200,application/pdf,5152035,raw/afo/index.php/afo/article/download/2220/2240.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2218/2239,200,application/pdf,747763,raw/afo/index.php/afo/article/download/2218/2239.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2217/2238,200,application/pdf,1323740,raw/afo/index.php/afo/article/download/2217/2238.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2216/2237,200,application/pdf,1595994,raw/afo/index.php/afo/article/download/2216/2237.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2215/2236,200,application/pdf,4402134,raw/afo/index.php/afo/article/download/2215/2236.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2214/2235,200,application/pdf,2301256,raw/afo/index.php/afo/article/download/2214/2235.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2213/2234,200,application/pdf,1714246,raw/afo/index.php/afo/article/download/2213/2234.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2212/2233,200,application/pdf,944289,raw/afo/index.php/afo/article/download/2212/2233.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2211/2232,200,application/pdf,337896,raw/afo/index.php/afo/article/download/2211/2232.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2210/2231,200,application/pdf,2863865,raw/afo/index.php/afo/article/download/2210/2231.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2209/2230,200,application/pdf,679415,raw/afo/index.php/afo/article/download/2209/2230.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2208/2262,200,application/pdf,867493,raw/afo/index.php/afo/article/download/2208/2262.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2207/2228,200,application/pdf,3857774,raw/afo/index.php/afo/article/download/2207/2228.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2206/2227,200,application/pdf,351948,raw/afo/index.php/afo/article/download/2206/2227.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2205/2226,200,application/pdf,1538296,raw/afo/index.php/afo/article/download/2205/2226.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2204/2225,200,application/pdf,869325,raw/afo/index.php/afo/article/download/2204/2225.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2203/2224,200,application/pdf,1249773,raw/afo/index.php/afo/article/download/2203/2224.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2202/2223,200,application/pdf,1021514,raw/afo/index.php/afo/article/download/2202/2223.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2201/2222,200,application/pdf,2389673,raw/afo/index.php/afo/article/download/2201/2222.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2200/2221,200,application/pdf,613015,raw/afo/index.php/afo/article/download/2200/2221.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2199/2220,200,application/pdf,523528,raw/afo/index.php/afo/article/download/2199/2220.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2198/2219,200,application/pdf,1111472,raw/afo/index.php/afo/article/download/2198/2219.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2197/2218,200,application/pdf,571649,raw/afo/index.php/afo/article/download/2197/2218.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2196/2217,200,application/pdf,3141118,raw/afo/index.php/afo/article/download/2196/2217.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2195/2216,200,application/pdf,1291248,raw/afo/index.php/afo/article/download/2195/2216.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2194/2215,200,application/pdf,882350,raw/afo/index.php/afo/article/download/2194/2215.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2193/2214,200,application/pdf,633972,raw/afo/index.php/afo/article/download/2193/2214.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2192/2213,200,application/pdf,1381219,raw/afo/index.php/afo/article/download/2192/2213.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2191/2210,200,application/pdf,651369,raw/afo/index.php/afo/article/download/2191/2210.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2190/2209,200,application/pdf,685420,raw/afo/index.php/afo/article/download/2190/2209.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2189/2208,200,application/pdf,782660,raw/afo/index.php/afo/article/download/2189/2208.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2186/2206,200,application/pdf,1992126,raw/afo/index.php/afo/article/download/2186/2206.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2187/2207,200,application/pdf,1462540,raw/afo/index.php/afo/article/download/2187/2207.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2185/2205,200,application/pdf,5492894,raw/afo/index.php/afo/article/download/2185/2205.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2184/2204,200,application/pdf,4341576,raw/afo/index.php/afo/article/download/2184/2204.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2183/2203,200,application/pdf,493486,raw/afo/index.php/afo/article/download/2183/2203.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2182/2202,200,application/pdf,638771,raw/afo/index.php/afo/article/download/2182/2202.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2181/2201,200,application/pdf,1246500,raw/afo/index.php/afo/article/download/2181/2201.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2180/2200,200,application/pdf,1815006,raw/afo/index.php/afo/article/download/2180/2200.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2179/2199,200,application/pdf,708201,raw/afo/index.php/afo/article/download/2179/2199.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2178/2198,200,application/pdf,484164,raw/afo/index.php/afo/article/download/2178/2198.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2177/2197,200,application/pdf,532173,raw/afo/index.php/afo/article/download/2177/2197.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2176/2196,200,application/pdf,1532091,raw/afo/index.php/afo/article/download/2176/2196.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2175/2195,200,application/pdf,2526673,raw/afo/index.php/afo/article/download/2175/2195.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2174/2194,200,application/pdf,1033038,raw/afo/index.php/afo/article/download/2174/2194.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2173/2193,200,application/pdf,755620,raw/afo/index.php/afo/article/download/2173/2193.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2172/2192,200,application/pdf,597718,raw/afo/index.php/afo/article/download/2172/2192.html
https://afo.birdlife.org.au/afo/index.php/afo/article/download/2171/2191,200,application/pdf,427201,raw/afo/index.php/afo/article/download/2171/2191.html
